word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
Nasenrachenraumes_noun	cooc		1851	no	no	no	no	yes	yes	CATEGORY|animal|people	
Nasenrachenraums_noun	cooc		1863	no	no	no	no	yes	yes	CATEGORY|animal|people	
Nasenrachens_noun	cooc		1886	no	no	no	no	yes	yes	CATEGORY|animal|people	
Natur_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|animal|people	
Nelke_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Ohr_noun	cooc		1628	no	yes	yes	yes	yes	yes	CATEGORY|animal|people	
Orangenhaine_noun	cooc		1659	yes	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Organismus_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Pflanze_noun	cooc		1628	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Probirstein_noun	cooc		1760	no	no	no	yes	yes	yes	CATEGORY|industry	
Produkt_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
Quark_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|food|beverage	
Rauch_noun	cooc		1679	no	no	no	no	yes	yes	CATEGORY|tobacco|smoke	
Raum_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|industry	
Reinheit_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
Rose_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Rosenduft_noun	cooc		1781	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Saatengruen_noun	cooc		1844	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Saeure_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
Sauerstoff_noun	cooc		1659	no	no	no	no	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Schaum_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
Schein_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Schleim_noun	cooc		1659	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Schleimhaeute_noun	cooc		1778	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Schleimhaeuten_noun	cooc		1769	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Schlundes_noun	cooc		1750	no	no	no	yes	yes	yes	CATEGORY|animal|people	
Schmetterling_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Schmutz_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Schnee_noun	cooc		1659	no	no	no	no	no	yes	CATEGORY|nature_flowers|plant|tree|soil	
Schnurrbart_noun	cooc		1729	no	no	no	no	yes	yes	CATEGORY|animal|people	
Schreck_noun	cooc		1721	no	no	yes	yes	yes	yes	CATEGORY|animal|people	
Schuss_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|food|beverage	
Schwall_noun	cooc		1729	no	no	no	no	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Schwefel_noun	cooc		1645	no	no	no	yes	yes	yes	CATEGORY|industry	
