word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality	
hydrosulfurique_noun	cooc		1773	no	no	no	yes	yes	no	CATEGORY|cleaning|medicinal		manual
héron_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|animal|people		manual
hêtre_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
industrie_noun	cooc		1553	no	no	yes	no	yes	yes	CATEGORY|industry		manual
infect_adj	cooc	['disgusting.s.01']	1599	no	no	yes	yes	yes	yes		CATEGORY|decayed	manual
ingrédient_noun	cooc		1623	no	no	no	no	yes	yes	CATEGORY|food|beverage		manual
intense_adj	cooc		1611	no	no	no	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	manual
iode_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
iris_noun	cooc		1553	no	no	yes	yes	no	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
irritant_adj	cooc		1610	no	no	no	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
jambe_noun	cooc		1547	yes	no	yes	yes	yes	yes	CATEGORY|animal|people		manual
jardin_noun	cooc		1547	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
jardins_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
jasmin_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
jasmins_noun	cooc		1642	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
javel_noun	cooc		1688	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal		
jonc_noun	cooc		1553	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
jus_noun	cooc		1553	no	no	no	yes	no	no	CATEGORY|food|beverage		
laine_noun	cooc		1547	no	yes	yes	yes	yes	yes	CATEGORY|synthetic		manual
lait_noun	cooc		1553	yes	yes	yes	yes	yes	yes	CATEGORY|food|beverage		
lande_noun	cooc		1614	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
lapin_noun	cooc		1603	no	no	no	no	no	yes	CATEGORY|animal|people		
latrine_noun	cooc		1707	no	no	no	no	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
laurier_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
lauréole_noun	cooc		1553	no	no	yes	yes	yes	no	CATEGORY|nature_flowers|plant|tree|soil		manual
lavande_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
lessive_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		
levain_noun	cooc		1553	no	no	no	yes	yes	no	CATEGORY|food|beverage		manual
lilas_noun	cooc		1634	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
lin_noun	cooc		1553	no	no	no	no	yes	no	CATEGORY|synthetic		
linge_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
lion_noun	cooc		1553	no	no	no	no	yes	yes	CATEGORY|animal|people		
liqueur_noun	cooc		1553	yes	yes	yes	yes	yes	yes	CATEGORY|food|beverage		
liège_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|synthetic		
lièvre_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|animal|people		
liévre_noun	cooc		1675	no	yes	yes	yes	yes	yes	CATEGORY|animal|people		manual
locomotive_noun	cooc		1765	no	no	no	yes	yes	yes	CATEGORY|industry		manual
lotion_noun	cooc		1616	no	no	no	yes	yes	no	CATEGORY|cleaning|medicinal		
lotus_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
loup_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|animal|people		
lys_noun	cooc		1572	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
léger_adj	cooc		1547	yes	yes	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	manual
légume_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|food|beverage		
machine_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|industry		manual
madeleine_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|food|beverage		manual
malade_noun	cooc		1553	yes	yes	yes	yes	yes	yes	CATEGORY|animal|people		manual
malpropreté_noun	cooc		1680	no	no	yes	yes	yes	no	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
malsain_adj	cooc		1614	no	no	yes	yes	yes	yes		CATEGORY|decayed	
manteau_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|synthetic		manual
manufacture_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|industry		manual
marguerites_noun	cooc		1612	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
marmite_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		manual
marécage_noun	cooc		1660	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
marécageux_adj	cooc		1553	no	no	yes	yes	yes	yes		CATEGORY|woody/earthy/mouldy	manual
masque_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
mazout_noun	cooc		1776	no	no	no	no	no	yes	CATEGORY|emissions_traffic|fuel|dust		
menthe_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		
mer_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
mercuriel_adj	cooc		1668	no	yes	yes	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
merveilleux_adj	cooc		1547	no	no	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	manual
miasme_noun	cooc		1676	no	yes	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
miel_noun	cooc		1553	yes	yes	yes	yes	yes	yes	CATEGORY|food|beverage		
mine_noun	cooc		1547	no	no	yes	yes	yes	yes	CATEGORY|industry		manual
minerai_noun	cooc		1547	no	no	no	no	no	yes	CATEGORY|industry		
minéral_adj	cooc		1553	no	no	no	no	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
misérable_adj	cooc		1574	no	no	yes	yes	no	no		CATEGORY|decayed	manual
mobilier_noun	cooc		1599	no	no	yes	yes	yes	yes	CATEGORY|industry		manual
moisi_adj	cooc		1616	no	yes	yes	yes	yes	yes		CATEGORY|decayed	
moléculaire_adj	cooc		1634	no	no	no	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
montagne_noun	cooc		1547	no	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
mort_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|animal|people		manual
morve_noun	cooc		1672	no	no	no	no	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		
moteur_noun	cooc		1555	no	no	yes	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust		manual
mouchoir_noun	cooc		1616	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
mousse_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|food|beverage		
moustache_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|animal|people		manual
moutarde_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		
mucus_noun	cooc		1708	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
muguet_noun	cooc		1621	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
muriatique_adj	cooc		1725	no	no	yes	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
musc_noun	cooc		1603	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
myrrhe_noun	cooc		1553	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
myrte_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
médical_adj	cooc		1581	no	no	no	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
médicament_noun	cooc		1553	no	no	no	no	no	yes	CATEGORY|cleaning|medicinal		manual
médicinal_adj	cooc		1659	no	no	no	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	
mélange_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|food|beverage		
mélisse_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
méphitique_adj	cooc		1603	no	no	yes	yes	yes	yes		CATEGORY|decayed	manual
métal_noun	cooc		1547	no	no	no	yes	yes	yes	CATEGORY|industry		
méthane_noun	cooc		1695	no	no	no	no	yes	yes	CATEGORY|emissions_traffic|fuel|dust		
méthanol_noun	cooc		1776	no	no	no	no	no	yes	CATEGORY|emissions_traffic|fuel|dust		manual
métro_noun	cooc		1603	no	no	no	yes	no	no	CATEGORY|emissions_traffic|fuel|dust		manual
naphtaline_noun	cooc		1779	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
nature_noun	cooc		1547	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
naturel_adj	cooc		1547	yes	yes	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	manual
nauséabond_adj	cooc		1634	no	no	yes	yes	yes	yes		CATEGORY|decayed	
nauséeuse_adj	cooc		1779	no	no	no	yes	yes	yes		CATEGORY|pungent	manual
nez_noun	cooc	['nose.n.06', 'nose.n.01']	1553	yes	yes	yes	yes	yes	yes	CATEGORY|animal|people		manual
nicotine_noun	cooc		1779	no	no	no	yes	yes	yes	CATEGORY|tobacco|smoke		
nitrate_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
nitrique_adj	cooc		1750	no	no	yes	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
nocif_adj	cooc		1776	no	no	no	no	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
noisette_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|food|beverage		
nourriture_noun	cooc		1547	no	yes	yes	yes	yes	yes	CATEGORY|food|beverage		
nuage_noun	cooc		1579	no	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
odorant_adj	cooc	['odoriferous.s.03', 'odoriferous.s.02', 'odorous.a.01']	1553	no	no	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	
oeuf_noun	cooc		1581	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		manual
oie_noun	cooc		1553	no	no	no	yes	yes	no	CATEGORY|animal|people		manual
oignon_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|food|beverage		
oiseau_noun	cooc		1553	yes	yes	yes	yes	yes	yes	CATEGORY|animal|people		manual
olive_noun	cooc		1553	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		
olivier_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
