seed	co-occurence	time span	freq	total token timespan
bos	34	1901-1925	51	7815890332
bos	rapen	1901-1925	327	7815890332
bos	reus	1901-1925	77	7815890332
bos	rhabaiber	1901-1925	82	7815890332
bos	rhabarber	1901-1925	1059	7815890332
bos	015	1901-1925	44	7815890332
bos	160	1901-1925	217	7815890332
bos	ronde	1901-1925	496	7815890332
bos	buitenl	1901-1925	9	7815890332
bos	savoyekool	1901-1925	77	7815890332
bos	schorseneer	1901-1925	1303	7815890332
bos	dozijn	1901-1925	14	7815890332
bos	sjalot	1901-1925	580	7815890332
bos	slaan	1851-1900	338	5394064364
bos	10	1851-1900	1058	5394064364
bos	20	1851-1900	847	5394064364
bos	slaboon	1851-1900	103	5394064364
bos	030	1851-1900	38	5394064364
bos	035	1851-1900	29	5394064364
bos	slaboon	1901-1925	171	7815890332
bos	snijboon	1851-1900	19	5394064364
bos	snijboon	1901-1925	358	7815890332
bos	suikerboon	1901-1925	13	7815890332
bos	tomaat	1901-1925	2239	7815890332
bos	tuinboon	1851-1900	262	5394064364
bos	250	1901-1925	193	7815890332
bos	bosui	1901-1925	208	7815890332
bos	hl	1901-1925	221	7815890332
bos	uitschot	1901-1925	16	7815890332
bos	binnenland	1901-1925	6	7815890332
bos	zuring	1851-1900	798	5394064364
bos	015	1851-1900	61	5394064364
bos	zuring	1901-1925	1576	7815890332
bouquet	100	1851-1900	265	5394064364
bouquet	afterdinner	1851-1900	114	5394064364
bouquet	10	1851-1900	102	5394064364
bouquet	dea	1901-1925	66	7815890332
bouquet	dainty	1851-1900	30	5394064364
bouquet	50	1851-1900	629	5394064364
bouquet	wilhelmina	1851-1900	41	5394064364
geurig	100	1851-1900	74	5394064364
geurig	dito	1851-1900	121	5394064364
geurig	fijn	1851-1900	720	5394064364
geurig	120	1851-1900	68	5394064364
geur	100	1851-1900	27	5394064364
geur	door	1851-1900	5270	5394064364
geur	qualiteit	1851-1900	53	5394064364
geur	en	1851-1900	13852	5394064364
bouquet	elegante	1851-1900	83	5394064364
geurig	licht	1851-1900	265	5394064364
geurig	trekken	1851-1900	26	5394064364
geurig	prima	1851-1900	19	5394064364
bouquet	meiklokje	1901-1925	52	7815890332
bos	paar	1901-1925	55	7815890332
bos	sorteren	1901-1925	71	7815890332
bouquet	petit	1901-1925	96	7815890332
bouquet	after	1901-1925	22	7815890332
bouquet	dinner	1901-1925	16	7815890332
bos	radijs	1851-1900	1528	5394064364
aroma	st	1901-1925	48	7815890332
bos	1014	1901-1925	7	7815890332
bos	1015	1901-1925	7	7815890332
bos	1025	1901-1925	6	7815890332
bos	knolselderij	1901-1925	828	7815890332
bos	10287	1901-1925	8	7815890332
bos	glas	1901-1925	17	7815890332
bos	aardewerk	1901-1925	37	7815890332
neus	102	1901-1925	7	7815890332
neus	keel	1901-1925	4226	7815890332
neus	en	1901-1925	7649	7815890332
neus	oorziekte	1901-1925	1368	7815890332
neuzen	1030	1851-1900	82	5394064364
neuzen	naar	1851-1900	1306	5394064364
neuzen	middag	1851-1900	38	5394064364
bos	103	1901-1925	23	7815890332
bos	104	1851-1900	2068	5394064364
bos	biet	1851-1900	33	5394064364
bos	blank	1851-1900	228	5394064364
bos	120	1851-1900	18	5394064364
bos	125	1851-1900	155	5394064364
bos	150	1851-1900	1156	5394064364
bos	175	1851-1900	131	5394064364
bos	schors	1851-1900	378	5394064364
bos	33	1851-1900	35	5394064364
bos	36	1851-1900	117	5394064364
bos	graafschapper	1851-1900	146	5394064364
bos	tafelhonig	1851-1900	60	5394064364
bos	veluwsch	1851-1900	209	5394064364
bos	480	1851-1900	27	5394064364
bouquet	105	1901-1925	26	7815890332
bouquet	ardath	1901-1925	66	7815890332
bouquet	per	1901-1925	40	7815890332
bos	105	1901-1925	319	7815890332
bos	schors	1901-1925	259	7815890332
bos	varen	1901-1925	83	7815890332
bos	alles	1901-1925	1580	7815890332
neus	bij	1851-1900	157	5394064364
neus	keel	1851-1900	1994	5394064364
neus	en	1851-1900	9068	5394064364
bos	tegen	1901-1925	299	7815890332
bos	postw	1901-1925	151	7815890332
bos	140	1901-1925	98	7815890332
bos	12	1851-1900	798	5394064364
bos	160	1851-1900	43	5394064364
bos	1601	1901-1925	21	7815890332
bos	franco	1901-1925	110	7815890332
bos	thuis	1901-1925	34	7815890332
bos	dik	1851-1900	113	5394064364
bos	malsch	1851-1900	121	5394064364
bos	franco	1851-1900	131	5394064364
bos	toezending	1851-1900	14	5394064364
bos	netto	1851-1900	85	5394064364
bos	pond	1851-1900	358	5394064364
bos	140	1851-1900	142	5394064364
bos	ruim	1851-1900	122	5394064364
bos	170	1851-1900	7	5394064364
neus	dusseldorp	1851-1900	16	5394064364
neus	urding	1851-1900	6	5394064364
bos	kroot	1851-1900	1394	5394064364
bos	rabarber	1851-1900	841	5394064364
bos	rammenas	1851-1900	1736	5394064364
bos	schorseneer	1851-1900	1032	5394064364
essence	10	1901-1925	23	7815890332
essence	fleschje	1901-1925	43	7815890332
essence	per	1901-1925	71	7815890332
bos	haverstroo	1901-1925	25	7815890332
neuzen	10	1851-1900	133	5394064364
neuzen	hoedekenskerke	1851-1900	305	5394064364
bos	den	1851-1900	1393	5394064364
bos	12000	1851-1900	6	5394064364
lucht	minuut	1901-1925	104	7815890332
lucht	in	1901-1925	17954	7815890332
lucht	de	1901-1925	34770	7815890332
neuzen	vlissing	1851-1900	346	5394064364
bos	vim	1851-1900	1972	5394064364
parfumerie	10	1901-1925	6	7815890332
parfumerie	portecigarettes	1901-1925	6	7815890332
parfumerie	melucine	1901-1925	6	7815890332
odeur	10	1851-1900	6	5394064364
odeur	25	1851-1900	6	5394064364
lucht	de	1801-1850	3628	1565489769
lucht	was	1851-1900	841	5394064364
lucht	de	1851-1900	31796	5394064364
neuzen	10	1801-1850	10	1565489769
neuzen	van	1801-1850	1452	1565489769
neuzen	vlissing	1801-1850	897	1565489769
neuzen	naar	1801-1850	898	1565489769
bos	110	1851-1900	34	5394064364
bos	fransch	1851-1900	896	5394064364
bos	selderij	1851-1900	4429	5394064364
lucht	110	1901-1925	21	7815890332
lucht	petroleumstel	1901-1925	32	7815890332
lucht	branden	1901-1925	112	7815890332
geurig	110	1801-1850	7	1565489769
geurig	zeer	1801-1850	21	1565489769
geurig	goed	1801-1850	48	1565489769
geurig	en	1801-1850	53	1565489769
lucht	in	1851-1900	11952	5394064364
lucht	te	1851-1900	5924	5394064364
neus	111	1851-1900	195	5394064364
neus	nur	1851-1900	48	5394064364
neus	voor	1851-1900	1691	5394064364
neus	oor	1851-1900	1618	5394064364
neus	111	1901-1925	64	7815890332
neus	nur	1901-1925	46	7815890332
neus	voor	1901-1925	2381	7815890332
neus	oor	1901-1925	3842	7815890332
neus	uur	1851-1900	252	5394064364
neus	uur	1901-1925	866	7815890332
bos	1120	1851-1900	8	5394064364
bos	112	1851-1900	7	5394064364
bos	kruisbes	1901-1925	177	7815890332
lucht	beschouwing	1851-1900	52	5394064364
bouquet	11	1901-1925	10	7815890332
bouquet	de	1901-1925	375	7815890332
bouquet	salon	1901-1925	17	7815890332
bouquet	25	1901-1925	327	7815890332
bos	11	1851-1900	67	5394064364
neuzen	11	1801-1850	15	1565489769
bos	1200	1901-1925	20	7815890332
bos	liter	1901-1925	52	7815890332
bos	bij	1901-1925	1880	7815890332
bos	jzn	1901-1925	113	7815890332
geurig	bijzonder	1851-1900	147	5394064364
geurig	voldoen	1851-1900	46	5394064364
geurig	aan	1851-1900	59	5394064364
essence	120	1851-1900	6	5394064364
essence	bisschop	1851-1900	36	5394064364
essence	rum	1851-1900	6	5394064364
bos	120	1901-1925	31	7815890332
geurig	zeer	1851-1900	1305	5394064364
geurig	krachtig	1851-1900	123	5394064364
bos	1212	1851-1900	34	5394064364
odeur	1250	1901-1925	6	7815890332
odeur	kristal	1901-1925	35	7815890332
odeur	en	1901-1925	396	7815890332
odeur	eau	1901-1925	522	7815890332
bos	1250	1851-1900	6	5394064364
aromatisch	125	1851-1900	83	5394064364
aromatisch	kruidenbitter	1851-1900	83	5394064364
aromatisch	in	1851-1900	90	5394064364
aromatisch	flacon	1851-1900	55	5394064364
essence	125	1851-1900	25	5394064364
essence	azijn	1851-1900	148	5394064364
essence	per	1851-1900	39	5394064364
essence	fl	1851-1900	16	5394064364
bos	schoolatlas	1851-1900	68	5394064364
bos	geheele	1851-1900	102	5394064364
geurig	125	1851-1900	226	5394064364
geurig	rijp	1851-1900	44	5394064364
bos	25	1901-1925	1534	7815890332
bouquet	125	1901-1925	53	7815890332
bouquet	rano	1901-1925	70	7815890332
bouquet	130	1901-1925	87	7815890332
bouquet	piabang	1901-1925	52	7815890332
geur	125	1851-1900	11	5394064364
geur	zeer	1851-1900	1087	5394064364
geur	goed	1851-1900	149	5394064364
geurig	goed	1851-1900	539	5394064364
neus	128	1851-1900	10	5394064364
neus	keelarts	1851-1900	96	5394064364
bos	170	1901-1925	200	7815890332
bos	15	1851-1900	1210	5394064364
bos	190	1851-1900	61	5394064364
bos	190	1901-1925	59	7815890332
lucht	is	1851-1900	3247	5394064364
lucht	betrekken	1851-1900	1822	5394064364
essence	12	1901-1925	22	7815890332
essence	ausonia	1901-1925	55	7815890332
essence	violet	1901-1925	99	7815890332
bos	asperge	1851-1900	720	5394064364
bos	waterkers	1851-1900	1809	5394064364
lucht	graad	1901-1925	19	7815890332
lucht	zullen	1901-1925	175	7815890332
geparfumeerd	12	1901-1925	24	7815890332
geparfumeerd	st	1901-1925	24	7815890332
geparfumeerd	ongeparfumeerd	1901-1925	193	7815890332
geurig	12	1851-1900	121	5394064364
geurig	stok	1851-1900	54	5394064364
geurig	lang	1851-1900	67	5394064364
neuzen	12	1801-1850	25	1565489769
bos	volksbeddenmagazijn	1901-1925	20	7815890332
bos	veld	1901-1925	16	7815890332
bos	pijperstraat	1901-1925	10	7815890332
geurig	zuiver	1851-1900	275	5394064364
geurig	alles	1851-1900	275	5394064364
geurig	met	1851-1900	268	5394064364
bos	130	1851-1900	6	5394064364
bos	bosui	1851-1900	240	5394064364
bos	gehakt	1901-1925	6	7815890332
bos	1348	1851-1900	9	5394064364
bos	groning	1851-1900	182	5394064364
bos	van	1851-1900	2269	5394064364
geurig	1350	1901-1925	31	7815890332
geurig	28	1901-1925	71	7815890332
geurig	chico	1901-1925	115	7815890332
geurig	zeer	1901-1925	1163	7815890332
geurig	ciiicos	1901-1925	22	7815890332
geparfumeerd	135	1901-1925	12	7815890332
geurig	1360	1901-1925	7	7815890332
lucht	137	1901-1925	9	7815890332
lucht	hare	1901-1925	28	7815890332
bos	13	1901-1925	106	7815890332
bos	13	1851-1900	256	5394064364
bos	directie	1901-1925	54	7815890332
bos	mr	1901-1925	588	7815890332
geurig	145	1851-1900	51	5394064364
lucht	bom	1801-1850	19	1565489769
lucht	in	1801-1850	1729	1565489769
bos	14	1901-1925	93	7815890332
bos	14	1851-1900	99	5394064364
bos	alles	1851-1900	237	5394064364
geurig	150	1851-1900	240	5394064364
geurig	cents	1851-1900	37	5394064364
geurig	zwaar	1851-1900	228	5394064364
bos	150f	1901-1925	7	7815890332
welriekend	150	1901-1925	24	7815890332
welriekend	haarolie	1901-1925	52	7815890332
welriekend	en	1901-1925	189	7815890332
welriekend	uitstekend	1901-1925	43	7815890332
odeur	150	1851-1900	8	5394064364
odeur	kinderhoed	1851-1900	15	5394064364
odeur	fijn	1851-1900	483	5394064364
odeur	in	1851-1900	387	5394064364
parfumerie	150	1901-1925	7	7815890332
parfumerie	en	1901-1925	527	7815890332
parfumerie	merk	1901-1925	14	7815890332
essence	151	1901-1925	7	7815890332
essence	gobler	1901-1925	34	7815890332
essence	met	1901-1925	23	7815890332
essence	aanwijzing	1901-1925	23	7815890332
bos	1525	1901-1925	12	7815890332
bos	stationsweg	1901-1925	14	7815890332
bos	bedum	1901-1925	144	7815890332
bos	boa	1901-1925	34	7815890332
bos	26012	1901-1925	63	7815890332
bos	21010	1901-1925	59	7815890332
bos	210	1851-1900	28	5394064364
bos	210	1901-1925	37	7815890332
bos	225	1851-1900	86	5394064364
bos	225	1901-1925	89	7815890332
bos	23012	1901-1925	208	7815890332
bos	18010	1901-1925	218	7815890332
bos	245	1901-1925	22	7815890332
bos	265	1901-1925	19	7815890332
neuzen	15	1801-1850	7	1565489769
lucht	voet	1901-1925	17	7815890332
geurig	16	1901-1925	101	7815890332
geurig	delicia	1901-1925	70	7815890332
geurig	groote	1901-1925	87	7815890332
geurig	torpedo	1901-1925	347	7815890332
geurig	délicia	1901-1925	75	7815890332
geurig	groot	1901-1925	164	7815890332
bos	230	1901-1925	40	7815890332
bos	slierasp	1901-1925	12	7815890332
bos	salade	1901-1925	54	7815890332
corsage	1750	1901-1925	14	7815890332
corsage	spelden	1901-1925	33	7815890332
corsage	in	1901-1925	40	7815890332
corsage	platina	1901-1925	26	7815890332
bouquet	175	1851-1900	77	5394064364
bouquet	de	1851-1900	2064	5394064364
bouquet	noc	1851-1900	682	5394064364
geparfumeerd	175	1901-1925	30	7815890332
geparfumeerd	came	1901-1925	79	7815890332
geparfumeerd	haarolie	1901-1925	72	7815890332
bouquet	fleur	1851-1900	366	5394064364
parfumerie	175	1851-1900	37	5394064364
parfumerie	van	1851-1900	1873	5394064364
parfumerie	roger	1851-1900	95	5394064364
parfumerie	en	1851-1900	1723	5394064364
bos	175	1901-1925	113	7815890332
odeur	175	1901-1925	23	7815890332
odeur	per	1901-1925	97	7815890332
odeur	flacon	1901-1925	100	7815890332
odeur	la	1901-1925	62	7815890332
