word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
besedje	cooc		-	-	-	-	-	-	-
besednik	cooc		-	-	-	-	-	-	-
besedovati	cooc		-	-	-	-	-	-	-
bezeg	cooc		-	-	-	-	-	-	-
bezgovina	cooc		-	-	-	-	-	-	-
beznica	cooc		-	-	-	-	-	-	-
bežati	cooc		-	-	-	-	-	-	-
bežen	cooc		-	-	-	-	-	-	-
bik	cooc		-	-	-	-	-	-	-
bilka	cooc		-	-	-	-	-	-	-
bimba	cooc		-	-	-	-	-	-	-
birič	cooc		-	-	-	-	-	-	-
birma	cooc		-	-	-	-	-	-	-
birokrat	cooc		-	-	-	-	-	-	-
birokratičen	cooc		-	-	-	-	-	-	-
birokratstvo	cooc		-	-	-	-	-	-	-
birt	cooc		-	-	-	-	-	-	-
birta	cooc		-	-	-	-	-	-	-
biser	cooc		-	-	-	-	-	-	-
bister	cooc		-	-	-	-	-	-	-
bistriti	cooc		-	-	-	-	-	-	-
bistrost	cooc		-	-	-	-	-	-	-
bistroumen	cooc		-	-	-	-	-	-	-
bisurman	cooc		-	-	-	-	-	-	-
bitenca	cooc		-	-	-	-	-	-	-
biti	cooc		-	-	-	-	-	-	-
bitje	cooc		-	-	-	-	-	-	-
bituminos	cooc		-	-	-	-	-	-	-
bituminozen	cooc		-	-	-	-	-	-	-
bivališče	cooc		-	-	-	-	-	-	-
bivanje	cooc		-	-	-	-	-	-	-
bivati	cooc		-	-	-	-	-	-	-
bizantinski	cooc		-	-	-	-	-	-	-
bič	cooc		-	-	-	-	-	-	-
bičati	cooc		-	-	-	-	-	-	-
blag	cooc		-	-	-	-	-	-	-
blago	cooc		-	-	-	-	-	-	-
blagodejen	cooc		-	-	-	-	-	-	-
blagodišeč	cooc	['fragrant.a.01']	-	-	-	-	-	-	-
blagoglasen	cooc		-	-	-	-	-	-	-
blagoopojen	cooc		-	-	-	-	-	-	-
blagor	cooc		-	-	-	-	-	-	-
blagoslov	cooc		-	-	-	-	-	-	-
blagost	cooc		-	-	-	-	-	-	-
blagostanje	cooc		-	-	-	-	-	-	-
blagozvočen	cooc		-	-	-	-	-	-	-
blankin	cooc		-	-	-	-	-	-	-
blaten	cooc		-	-	-	-	-	-	-
blato	cooc		-	-	-	-	-	-	-
blazina	cooc		-	-	-	-	-	-	-
blazinica	cooc		-	-	-	-	-	-	-
blaznost	cooc		-	-	-	-	-	-	-
blažen	cooc		-	-	-	-	-	-	-
blaženost	cooc		-	-	-	-	-	-	-
blaženstvo	cooc		-	-	-	-	-	-	-
blažilo	cooc		-	-	-	-	-	-	-
blažitev	cooc		-	-	-	-	-	-	-
blažiti	cooc		-	-	-	-	-	-	-
blažnost	cooc		-	-	-	-	-	-	-
bled	cooc		-	-	-	-	-	-	-
blejčev	cooc		-	-	-	-	-	-	-
blesk	cooc		-	-	-	-	-	-	-
blesteč	cooc		-	-	-	-	-	-	-
blesteči	cooc		-	-	-	-	-	-	-
bleščati	cooc		-	-	-	-	-	-	-
bleščeč	cooc		-	-	-	-	-	-	-
blisk	cooc		-	-	-	-	-	-	-
bliskati	cooc		-	-	-	-	-	-	-
bliskov	cooc		-	-	-	-	-	-	-
blizu	cooc		-	-	-	-	-	-	-
blišč	cooc		-	-	-	-	-	-	-
bližajoč	cooc		-	-	-	-	-	-	-
bližati	cooc		-	-	-	-	-	-	-
bliže	cooc		-	-	-	-	-	-	-
bližina	cooc		-	-	-	-	-	-	-
bližnji	cooc		-	-	-	-	-	-	-
bloditi	cooc		-	-	-	-	-	-	-
blodnja	cooc		-	-	-	-	-	-	-
bluz	cooc		-	-	-	-	-	-	-
bng	cooc		-	-	-	-	-	-	-
bob	cooc		-	-	-	-	-	-	-
boben	cooc		-	-	-	-	-	-	-
bodalec	cooc		-	-	-	-	-	-	-
bodalo	cooc		-	-	-	-	-	-	-
bodanski	cooc		-	-	-	-	-	-	-
bodel	cooc		-	-	-	-	-	-	-
boder	cooc		-	-	-	-	-	-	-
bodeč	cooc		-	-	-	-	-	-	-
bodisi	cooc		-	-	-	-	-	-	-
bodoč	cooc		-	-	-	-	-	-	-
bodočnost	cooc		-	-	-	-	-	-	-
bodra	cooc		-	-	-	-	-	-	-
bodriški	cooc		-	-	-	-	-	-	-
bodrost	cooc		-	-	-	-	-	-	-
bog	cooc		-	-	-	-	-	-	-
bogaboječ	cooc		-	-	-	-	-	-	-
bogaboječnost	cooc		-	-	-	-	-	-	-
bogastvo	cooc		-	-	-	-	-	-	-
bogat	cooc		-	-	-	-	-	-	-
bogataš	cooc		-	-	-	-	-	-	-
bogatina	cooc		-	-	-	-	-	-	-
bogdan	cooc		-	-	-	-	-	-	-
boginja	cooc		-	-	-	-	-	-	-
bogoslužen	cooc		-	-	-	-	-	-	-
bohinj	cooc		-	-	-	-	-	-	-
bohinjski	cooc		-	-	-	-	-	-	-
bohoten	cooc		-	-	-	-	-	-	-
boj	cooc		-	-	-	-	-	-	-
