word	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
Erde_noun	cooc		1508	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Erdkreis_noun	cooc		1739	no	no	yes	yes	yes	yes		
Erfahrung_noun	cooc		1508	no	no	yes	yes	yes	yes		
Erfahrungseinheit_noun	cooc		1781	no	no	yes	yes	yes	yes		
Erinnern_noun	cooc		1699	no	no	no	no	yes	yes		
Erinnerung_noun	cooc		1508	no	no	no	no	no	yes		
Erkenntnis_noun	cooc		1508	no	no	yes	yes	yes	yes		
Erkenntniss_noun	cooc		1508	no	no	yes	yes	yes	yes		
Erklaerung_noun	cooc		1508	no	no	yes	yes	yes	yes		
Erklaerungsgrund_noun	cooc		1756	no	no	yes	yes	yes	yes		
Erkrankung_noun	cooc		1508	no	no	no	no	yes	yes		
Erkundigung_noun	cooc		1508	no	no	no	no	yes	yes		
Erscheinung_noun	cooc		1508	no	no	yes	yes	yes	yes		
Erstaunen_noun	cooc		1528	no	no	yes	yes	yes	yes		
Erwerbmittel_noun	cooc		1776	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
Europa_noun	cooc		1508	no	no	yes	yes	yes	yes		
Europas_noun	cooc		1508	no	no	no	yes	yes	yes		
Evangelium_noun	cooc		1659	no	no	no	yes	yes	yes		
Evangeliums_noun	cooc		1720	no	no	no	yes	yes	yes		
Ewigkeit_noun	cooc		1545	no	no	no	yes	yes	yes		
Exemplar_noun	cooc		1508	no	no	no	no	yes	yes		
F_noun	cooc		1508	no	no	no	no	yes	yes		
Faerbestoff_noun	cooc		1793	no	no	no	yes	yes	yes		
Farbe_noun	cooc		1528	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal	
Faust_noun	cooc		1689	no	no	no	yes	yes	yes		
Feinheit_noun	cooc		1659	no	no	yes	yes	yes	yes		
Feld_noun	cooc		1508	no	no	yes	yes	yes	yes		
Feldes_noun	cooc		1508	no	no	yes	yes	yes	yes		
Fenster_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust	
Feuchtigkeit_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
Feuer_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|industry	
Finger_noun	cooc		1659	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal	
Finsteres_noun	cooc		1772	no	no	no	yes	yes	yes		
