word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
abominable_adj	cooc		1524	yes	yes	yes	yes	yes	yes
abominably_adv	cooc		1562	yes	yes	yes	yes	yes	yes
abomination_noun	cooc		1533	yes	yes	yes	yes	yes	yes
abominations_verb	cooc		1648	no	no	no	no	yes	yes
abound_verb	cooc		1524	no	yes	yes	yes	yes	yes
about_adv	cooc		1524	no	no	yes	yes	yes	yes
abouzaid_noun	cooc		1752	no	no	yes	yes	no	no
above_adj	cooc		1524	no	yes	yes	yes	yes	yes
above_adv	cooc		1547	no	yes	yes	yes	yes	yes
abraham_noun	cooc		1524	yes	yes	yes	yes	yes	yes
abram_adv	cooc		1644	yes	yes	yes	yes	yes	yes
abram_noun	cooc		1600	no	no	yes	yes	yes	yes
abridge_verb	cooc		1565	no	yes	yes	yes	yes	yes
abroad_adv	cooc		1524	no	yes	yes	yes	yes	yes
abrogate_verb	cooc		1533	yes	no	yes	yes	yes	yes
abrupt_adj	cooc		1581	no	no	no	yes	yes	yes
abruptly_adv	cooc		1524	no	no	no	yes	yes	yes
abruptness_noun	cooc		1597	no	no	no	yes	yes	yes
absalom_noun	cooc		1547	no	yes	yes	yes	yes	yes
absence_noun	cooc		1524	yes	yes	yes	yes	yes	yes
absent_adj	cooc		1524	no	yes	yes	yes	yes	yes
absents_noun	cooc		1562	no	yes	yes	yes	yes	yes
absolute_adj	cooc		1524	no	no	yes	yes	yes	yes
absolutely_adv	cooc		1524	no	no	yes	yes	yes	yes
absolve_verb	cooc		1581	no	no	no	yes	yes	yes
absorb_verb	cooc		1609	no	no	yes	yes	yes	yes
absorbing_adj	cooc		1574	no	no	no	yes	yes	yes
absorption_noun	cooc		1659	no	no	yes	yes	yes	yes
abstain_verb	cooc		1564	no	no	yes	yes	yes	yes
abstinence_noun	cooc		1533	yes	no	yes	yes	yes	yes
abstract_adj	cooc		1524	no	no	yes	yes	yes	yes
abstract_noun	cooc		1524	no	no	yes	yes	yes	yes
abstract_verb	cooc		1651	no	no	no	yes	yes	yes
abstracted_adj	cooc		1586	no	no	yes	yes	yes	yes
abstraction_noun	cooc		1596	no	no	no	no	yes	no
absurd_adj	cooc		1550	no	no	yes	yes	yes	yes
absurdity_noun	cooc		1562	yes	yes	yes	yes	yes	yes
abundance_noun	cooc		1524	yes	yes	yes	yes	yes	yes
abundant_adj	cooc		1524	yes	yes	yes	yes	yes	yes
abundantly_adv	cooc		1524	no	no	yes	yes	yes	yes
abuse_noun	cooc		1524	yes	yes	yes	yes	yes	yes
abuse_verb	cooc		1524	no	yes	yes	yes	yes	yes
abused_adj	cooc		1524	yes	yes	no	yes	yes	yes
abuser_noun	cooc		1591	no	yes	yes	yes	yes	yes
abusive_adj	cooc		1564	no	no	yes	yes	yes	yes
abusively_adv	cooc		1586	no	no	no	yes	yes	yes
abyss_noun	cooc		1547	no	yes	yes	yes	yes	yes
ac_noun	cooc		1524	no	no	no	yes	yes	no
acacia_noun	cooc		1616	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil
academic_adj	cooc		1524	no	no	no	yes	yes	yes
academick_noun	cooc		1596	no	no	yes	yes	yes	yes
acanthus_adj	cooc		1574	no	no	no	yes	yes	yes
acarnan_noun	cooc		1718	no	no	no	no	yes	yes
accent_noun	cooc		1576	no	yes	yes	yes	yes	yes
accented_verb	cooc		1589	no	no	yes	yes	no	no
accentuate_verb	cooc		1586	no	no	no	no	yes	yes
accept_verb	cooc		1524	no	yes	yes	yes	yes	yes
acceptable_adj	cooc		1524	no	yes	yes	yes	yes	yes
acceptance_noun	cooc		1524	no	no	no	yes	no	yes
acceptation_noun	cooc		1565	no	no	no	yes	no	yes
accepted_adj	cooc		1524	no	no	no	yes	yes	yes
access_noun	cooc		1524	yes	yes	yes	yes	yes	yes
accessible_adj	cooc		1564	no	no	no	yes	yes	yes
accession_noun	cooc		1524	no	yes	yes	yes	yes	no
accessory_adj	cooc		1574	no	no	no	yes	yes	yes
accessory_noun	cooc		1620	no	no	no	no	yes	yes
accident_noun	cooc		1524	no	yes	yes	yes	yes	yes
accidental_adj	cooc		1524	no	no	yes	yes	yes	yes
acclamation_noun	cooc		1590	no	no	yes	yes	yes	yes
accolade_noun	cooc		1716	no	no	no	yes	yes	yes
accommodate_verb	cooc		1581	no	no	yes	yes	yes	yes
accompaniment_noun	cooc		1606	no	no	no	yes	yes	yes
accompany_verb	cooc		1524	no	yes	yes	yes	yes	yes
accomplice_noun	cooc		1590	no	no	no	yes	yes	yes
accomplish_verb	cooc		1524	no	yes	yes	yes	yes	yes
accomplishment_noun	cooc		1562	no	no	yes	yes	yes	yes
accord_noun	cooc		1524	no	yes	yes	yes	yes	yes
